domain,agency,organization,city,state,expires,status
ACTON-MA.GOV,Non-Federal Agency,"Town of Acton, Massachusetts",Acton,MA,06 Nov 19 18:59 EST,"Error: x509: certificate is valid for www.www.acton-ma.gov, www.acton-ma.gov, not acton-ma.gov"
ACTONMA.GOV,Non-Federal Agency,"Town of Acton, Massachusetts",Acton,MA,,read tcp 192.168.1.211:63282->208.90.189.196:443: read: connection reset by peer
ACUS.GOV,Administrative Conference of the United States,ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,Washington,DC,29 Nov 20 18:59 EST,Expires 2 years from now (29 Nov 20)
ACWI.GOV,Department of the Interior,Advisory Committee on Water Information,Reston,VA,22 Jan 20 07:00 EST,Expires 11 months from now (22 Jan 20)
ADA.GOV,Department of Justice,Department of Justice,Rockville,MD,21 Jun 20 12:18 EDT,Expires 1 year from now (21 Jun 20)
ADAK-AK.GOV,Non-Federal Agency,City of Adak,Adak,AK,,dial tcp: lookup adak-ak.gov: no such host
ADAMN.GOV,Non-Federal Agency,City Of Ada,Ada,MN,,read tcp 192.168.1.211:63266->69.71.55.90:443: read: connection reset by peer
ADAMSCOUNTYMS.GOV,Non-Federal Agency,Adams County Board of Supervisors,Natchez,MS,17 Nov 20 14:39 EST,"Error: x509: certificate is valid for www.adamscountyms.net, adamscountyms.net, not adamscountyms.gov"
ADAMSCOUNTYOH.GOV,Non-Federal Agency,Adams County Commissioners,West Union,OH,27 Jun 19 19:59 EDT,Error: x509: certificate signed by unknown authority
ADDISONTX.GOV,Non-Federal Agency,Town Of Addison,Addison,TX,13 Mar 19 12:25 EDT,"Error: x509: certificate is valid for dnsme, not addisontx.gov"
ADELANTOCA.GOV,Non-Federal Agency,City of Adelanto,Adelanto,CA,,read tcp 192.168.1.211:63303->192.196.0.119:443: read: connection reset by peer
ADF.GOV,United States African Development Foundation,African Development Foundation,Washington,DC,03 Jul 19 08:00 EDT,"Error: x509: certificate is valid for *.squarespace.com, squarespace.com, not adf.gov"
ADLNET.GOV,Department of Defense,Advanced Distributed Learning Initiative,Washington,DC,13 Mar 20 16:29 EDT,Expires 1 year from now (13 Mar 20)
ADMONGO.GOV,Federal Trade Commission,Federal Trade Commission,Washington,DC,28 Sep 19 08:00 EDT,Expires 7 months from now (28 Sep 19)
ADR.GOV,Department of Justice,Department of Justice,Rockville,MD,21 Jun 20 12:15 EDT,Expires 1 year from now (21 Jun 20)
ADRCNJ.GOV,Non-Federal Agency," NJ Department of Human Services, DoAS",Mercerville,NJ,16 Mar 19 08:00 EDT,"Error: x509: certificate is valid for nj.gov, www.nj.gov, www.state.nj.us, gcada.nj.gov, knowaddiction.nj.gov, yourmoney.nj.gov, tech.nj.gov, www.tech.nj.gov, www.gcada.nj.gov, www.knowaddiction.nj.gov, www.yourmoney.nj.gov, not adrcnj.gov"
ADRIANMI.GOV,Non-Federal Agency,City of Adrian,Adrian,MI,05 Mar 19 22:58 EST,Expires 2 weeks from now (05 Mar 19)
AFADVANTAGE.GOV,General Services Administration,US General Services Administration,Washington,DC,31 Dec 69 19:00 EST,Error: read tcp 192.168.1.211:63286->159.142.255.13:443: read: connection reset by peer
AFF.GOV,U.S. Department of Agriculture,Aviation Management Directorate,Boise,ID,,dial tcp: lookup aff.gov: no such host
AFRH.GOV,Armed Forces Retirement Home,Armed Forces Retirement Home,Washington,DC,,dial tcp: lookup afrh.gov: no such host
AFRICANAMERICANHISTORYMONTH.GOV,Library of Congress,Library of Congress,Washington,DC,16 Apr 19 19:59 EDT,Expires 1 month from now (16 Apr 19)
AFTAC.GOV,Department of Defense,AFTAC,Patrick AFB,FL,,dial tcp: lookup aftac.gov: no such host
AFTERSCHOOL.GOV,Department of Health and Human Services,Health and Human Services,Washington,DC,,dial tcp 158.71.31.30:443: i/o timeout
AFTONWYOMING.GOV,Non-Federal Agency,TOWN OF AFTON,AFTON,WY,06 May 19 12:29 EDT,Expires 2 months from now (06 May 19)
AG.GOV,U.S. Department of Agriculture,USDA,Fort Collins,CO,,dial tcp 162.79.3.5:443: i/o timeout
AGAZ.GOV,Non-Federal Agency,Arizona Attorney General,Phoenix,AZ,05 Jun 19 18:35 EDT,"Error: x509: certificate is valid for *.azag.gov, azag.gov, not agaz.gov"
AGING.GOV,Department of Health and Human Services,Department of Health and Human Services,Washington,DC,01 Nov 19 08:00 EDT,Expires 8 months from now (01 Nov 19)
AGINGSTATS.GOV,Department of Health and Human Services,Health and Human Services,Washington,DC,19 Oct 19 13:12 EDT,Expires 8 months from now (19 Oct 19)
AGUACALIENTE-NSN.GOV,Indian Affairs,Agua Caliente Band of Cahuilla Indians,Palm Springs,CA,,dial tcp 76.79.137.136:443: i/o timeout
AGUTAH.GOV,Non-Federal Agency,Utah Attorney General's Office,Salt Lake City,UT,,dial tcp: lookup agutah.gov: no such host
AHA-NSN.GOV,Indian Affairs,Akwesasne Housing Authority,Hogansburg,NY,,dial tcp 38.77.49.34:443: i/o timeout
AHCPR.GOV,Department of Health and Human Services,AHRQ,Rockville,MD,22 Dec 19 07:00 EST,Expires 10 months from now (22 Dec 19)
AHOSKIENC.GOV,Non-Federal Agency,Town of Ahoskie,Ahoskie,NC,07 May 19 15:29 EDT,Expires 2 months from now (07 May 19)
AHRQ.GOV,Department of Health and Human Services,AHRQ,Rockville,MD,22 Dec 19 07:00 EST,Expires 10 months from now (22 Dec 19)
AI.GOV,Executive Office of the President,Executive Office of the President,Washington,DC,23 Feb 20 07:00 EST,Expires 1 year from now (23 Feb 20)
AIDMONTANA.GOV,Non-Federal Agency,Montana Department of Justice,Helena,MT,13 Mar 19 12:25 EDT,"Error: x509: certificate is valid for dnsme, not aidmontana.gov"
AIDS.GOV,Department of Health and Human Services,Health and Human Services,Washington,DC,09 May 19 08:00 EDT,Expires 2 months from now (09 May 19)
AIKENCOUNTYSC.GOV,Non-Federal Agency,Aiken County Government,Aiken,SC,18 Apr 19 08:00 EDT,Expires 2 months from now (18 Apr 19)
AIRNOW.GOV,Environmental Protection Agency,Environmental Protection Agency,Durham,NC,23 Jan 20 07:00 EST,Expires 11 months from now (23 Jan 20)
AK-CHIN-NSN.GOV,Indian Affairs,Ak-Chin Indian Community,Maricopa,AZ,,dial tcp 66.182.120.2:443: i/o timeout
AK.GOV,Non-Federal Agency,State of Alaska,Juneau,AK,,dial tcp: lookup ak.gov: no such host
AKAEROSPACE.GOV,Non-Federal Agency,Alaska Aerospace Development Corporation,Anchorage,AK,,dial tcp 69.178.0.138:443: i/o timeout
AKLEG.GOV,Non-Federal Agency,Alaska Legislature,Juneau,AK,11 Oct 20 08:00 EDT,Error: x509: certificate signed by unknown authority
AKRONOHIO.GOV,Non-Federal Agency,"City of Akron, Ohio",Akron,OH,09 Jun 19 19:59 EDT,Expires 3 months from now (09 Jun 19)
AL-LEGISLATURE.GOV,Non-Federal Agency,State of Alabama,Montgomery,AL,14 May 19 19:59 EDT,"Error: x509: certificate is valid for mail.al-legislature.gov, mail.alhouse.gov, mail.alsenate.gov, not al-legislature.gov"
AL.GOV,Non-Federal Agency,State of Alabama,Montgomery,AL,09 Mar 19 09:51 EST,"Error: x509: certificate is valid for www.alabamavotes.gov, alabamavotes.gov, not al.gov"
ALABAMA.GOV,Non-Federal Agency,State of Alabama,Montgomery,AL,27 Dec 19 16:21 EST,Expires 10 months from now (27 Dec 19)
ALABAMAAGELINE.GOV,Non-Federal Agency,Alabama Department of Senior Services,Montgomery,AL,,EOF
ALABAMADA.GOV,Non-Federal Agency,Alabama District Attorneys Association,Montgomery,AL,,dial tcp: lookup alabamada.gov: no such host
ALABAMADEMENTIA.GOV,Non-Federal Agency,Alabama Department of Senior Services,Montgomery,AL,,read tcp 192.168.1.211:63340->216.226.186.135:443: read: connection reset by peer
ALABAMAHOUSEPHOTOS.GOV,Non-Federal Agency,Alabama Legislature,Montgomery,AL,,dial tcp 198.204.100.58:443: i/o timeout
ALABAMAOMBUDSMAN.GOV,Non-Federal Agency,Alabama Department of Senior Services,Montgomery,AL,,dial tcp 216.226.186.48:443: i/o timeout
ALABAMAPUBLICHEALTH.GOV,Non-Federal Agency,Alabama Department of Public Health,Montgomery,AL,22 Jun 19 08:00 EDT,Error: x509: certificate signed by unknown authority
ALABAMASMP.GOV,Non-Federal Agency,Alabama Department of Senior Services,Montgomery,AL,,read tcp 192.168.1.211:63320->216.226.186.136:443: read: connection reset by peer
ALABAMAVOTES.GOV,Non-Federal Agency,Alabama Secretary of State,Montgomery,AL,09 Mar 19 09:51 EST,Expires 2 weeks from now (09 Mar 19)
ALABC.GOV,Non-Federal Agency,Alabama Alcoholic Beverage Control Board,Montgomery,AL,,dial tcp 184.168.221.56:443: i/o timeout
ALABCBOARD.GOV,Non-Federal Agency,Alabama Alcoholic Beverage Control Board,Montgomery,AL,05 Feb 20 07:00 EST,"Error: x509: certificate is valid for *.devcloud.acquia-sites.com, devcloud.acquia-sites.com, not alabcboard.gov"
ALABPP.GOV,Non-Federal Agency,Alabama Pardons and Paroles,Montgomery,AL,08 Jul 20 08:00 EDT,Expires 1 year from now (08 Jul 20)
ALACOP.GOV,Non-Federal Agency,Alabama Law Enforcement Agency,Montgomery,AL,28 Nov 20 10:41 EST,Expires 2 years from now (28 Nov 20)
ALACOURT.GOV,Non-Federal Agency,Unified Judicial System - State of Alabama,Montgomery,AL,,dial tcp: lookup alacourt.gov: no such host
ALADA.GOV,Non-Federal Agency,Administrative Office of Courts,Mongomery,AL,,dial tcp 127.0.0.1:443: connect: connection refused
ALADNA.GOV,Non-Federal Agency,AOC,Montgomery,AL,,dial tcp: i/o timeout
ALAMEDACA.GOV,Non-Federal Agency,City of Alameda,Alameda,CA,08 May 19 08:00 EDT,Expires 2 months from now (08 May 19)
ALAMOHEIGHTSTX.GOV,Non-Federal Agency,City of Alamo Heights,Alamo Heights,TX,07 Dec 20 15:26 EST,Expires 2 years from now (07 Dec 20)
ALAPPEALS.GOV,Non-Federal Agency,State of Alabama Supreme Court,Montgomery,AL,,dial tcp 207.157.124.60:443: i/o timeout
ALASAFE.GOV,Non-Federal Agency,Alabama Law Enforcement Agency,Montgomery,AL,12 Sep 20 17:37 EDT,Expires 2 years from now (12 Sep 20)
ALASKA.GOV,Non-Federal Agency,State of Alaska,Juneau,AK,,dial tcp 158.145.20.64:443: connect: connection refused
ALASKACARE.GOV,Non-Federal Agency,State of Alaska - Division of Retirement & Benefits,Juneau,AK,,dial tcp 146.63.81.10:443: i/o timeout
ALASKACENTERS.GOV,Department of the Interior,National Park Service,Washington,DC,03 Nov 19 13:21 EST,Expires 8 months from now (03 Nov 19)
ALBANYCOUNTYNY.GOV,Non-Federal Agency,Albany County,Albany,NY,,tls: oversized record received with length 20527
ALBANYGA.GOV,Non-Federal Agency,City of Albany,Albany,GA,,read tcp 192.168.1.211:63324->135.84.124.41:443: read: connection reset by peer
ALBANYNY.GOV,Non-Federal Agency,City of Albany,Albany,NY,26 Nov 19 07:00 EST,Expires 9 months from now (26 Nov 19)
ALBEMARLENC.GOV,Non-Federal Agency,City of Albemarle,Albemarle,NC,01 Aug 19 16:37 EDT,Expires 5 months from now (01 Aug 19)
ALBUQUERQUE-NM.GOV,Non-Federal Agency,City of Albuquerque ,Albuquerque,NM,,dial tcp 198.175.176.10:443: connect: connection refused
ALCONSERVATIONDISTRICTS.GOV,Non-Federal Agency,Alabama Soil & Water Conservation Committee,Montgomery,AL,29 Jul 19 19:59 EDT,Expires 5 months from now (29 Jul 19)
ALDOI.GOV,Non-Federal Agency,Alabama Department of Insurance,Montgomery,AL,16 Feb 20 12:55 EST,Expires 1 year from now (16 Feb 20)
ALEA.GOV,Non-Federal Agency,Alabama Law Enforcement Agency,Montgomery,AL,05 Dec 20 12:51 EST,Expires 2 years from now (05 Dec 20)
ALEKNAGIKAK.GOV,Non-Federal Agency,City of Aleknagik,Aleknagik,AK,31 Oct 18 08:00 EDT,Expired 3 months ago (31 Oct 18)
ALERTAENLINEA.GOV,Federal Trade Commission,Federal Trade Commission,Washington,DC,28 Sep 19 08:00 EDT,Expires 7 months from now (28 Sep 19)
ALEXANDERCITYAL.GOV,Non-Federal Agency,City of Alexander City,Alexander City,AL,20 Apr 19 17:30 EDT,Expires 2 months from now (20 Apr 19)
ALEXANDERCOUNTY-NC.GOV,Non-Federal Agency,Alexander County NC,Taylorsville,NC,,dial tcp: lookup alexandercounty-nc.gov: no such host
ALEXANDERCOUNTYNC.GOV,Non-Federal Agency,Alexander County NC,Taylorsville,NC,07 Nov 19 15:57 EST,Expires 8 months from now (07 Nov 19)
ALEXANDRIANJ.GOV,Non-Federal Agency,Alexandria Township,Milford,NJ,23 Mar 19 17:15 EDT,Expires 1 month from now (23 Mar 19)
ALEXANDRIAVA.GOV,Non-Federal Agency,City of Alexandria,Alexandria,VA,21 Aug 20 10:50 EDT,Expires 2 years from now (21 Aug 20)
ALFREDME.GOV,Non-Federal Agency,Town of Alfred,Alfred,ME,,read tcp 192.168.1.211:63378->184.154.61.162:443: read: connection reset by peer
ALGERCOUNTY.GOV,Non-Federal Agency,COUNTY OF ALGER,MUNISING,MI,,read tcp 192.168.1.211:63404->184.154.61.162:443: read: connection reset by peer
ALGONAWA.GOV,Non-Federal Agency,City Of Algona,Algona,WA,23 Apr 19 23:37 EDT,Expires 2 months from now (23 Apr 19)
ALGOODTN.GOV,Non-Federal Agency,City Of Algood,Algood,TN,,dial tcp 173.84.138.18:443: connect: connection refused
ALHOUSE.GOV,Non-Federal Agency,State of Alabama - Legislative Computer Center,Montgomery ,AL,14 May 19 19:59 EDT,"Error: x509: certificate is valid for mail.al-legislature.gov, mail.alhouse.gov, mail.alsenate.gov, not alhouse.gov"
ALIQUIPPAPA.GOV,Non-Federal Agency,City of Aliquippa,Aliquippa,PA,30 Apr 19 05:16 EDT,Expires 2 months from now (30 Apr 19)
ALLEGHANYCOUNTY-NC.GOV,Non-Federal Agency,Alleghany County,Sparta,NC,25 Mar 19 02:25 EDT,Expires 1 month from now (25 Mar 19)
ALLEGHENYCOUNTYPA.GOV,Non-Federal Agency,County of Allegheny,Pittsburgh,PA,01 Dec 19 10:51 EST,"Error: x509: certificate is valid for *.alleghenycounty.us, alleghenycounty.us, not alleghenycountypa.gov"
ALLENDALENJ.GOV,Non-Federal Agency,Borough of Allendale,Allendale,NJ,29 May 19 16:40 EDT,Expires 3 months from now (29 May 19)
ALLENSTOWNNH.GOV,Non-Federal Agency,Town of Allenstown,Allenstown,NH,12 May 19 04:42 EDT,Expires 2 months from now (12 May 19)
ALLENTOWNPA.GOV,Non-Federal Agency,City of Allentown,Allentown,PA,29 Sep 20 16:18 EDT,Expires 2 years from now (29 Sep 20)
ALLIANCEOH.GOV,Non-Federal Agency,City of Alliance,Alliance,OH,,dial tcp: lookup allianceoh.gov: no such host
ALMONTMICHIGAN.GOV,Non-Federal Agency,Village of Almont,Almont,MI,,read tcp 192.168.1.211:63391->67.225.250.115:443: read: connection reset by peer
ALPINECOUNTYCA.GOV,Non-Federal Agency,County of Alpine,Markleeville,CA,05 Oct 19 19:59 EDT,Expires 7 months from now (05 Oct 19)
ALSENATE.GOV,Non-Federal Agency,State of Alabama - Legislative Computer Center ,Montgomery ,AL,14 May 19 19:59 EDT,"Error: x509: certificate is valid for mail.al-legislature.gov, mail.alhouse.gov, mail.alsenate.gov, not alsenate.gov"
ALTAVISTAVA.GOV,Non-Federal Agency,Town of Altavista,Altavista,VA,28 Jun 19 19:59 EDT,Expires 4 months from now (28 Jun 19)
ALTON-TX.GOV,Non-Federal Agency,City of Alton,Alton,TX,16 Apr 19 19:59 EDT,Expires 1 month from now (16 Apr 19)
ALTOONAPA.GOV,Non-Federal Agency,City of Altoona,Altoona,PA,,dial tcp: lookup altoonapa.gov: no such host
ALTUSANDC.GOV,Department of Defense,aftac,Patrick AFB,FL,,dial tcp 198.47.65.101:443: i/o timeout
ALTUSOK.GOV,Non-Federal Agency,City of Altus,Altus,OK,12 Oct 19 19:59 EDT,Expires 7 months from now (12 Oct 19)
ALVIN-TX.GOV,Non-Federal Agency,"City of Alvin, Texas",Alvin,TX,,read tcp 192.168.1.211:63397->166.78.38.244:443: read: connection reset by peer
ALZHEIMERS.GOV,Department of Health and Human Services,"National Institute on Aging, National Institutes of Health",Bethesda,MD,03 Oct 19 08:00 EDT,Expires 7 months from now (03 Oct 19)
AMA.GOV,Department of the Treasury,Department of the Treasury - FMS,Washington,DC,16 Dec 19 10:52 EST,Expires 10 months from now (16 Dec 19)
AMARILLO.GOV,Non-Federal Agency,City of Amarillo ,Amarillo,TX,15 Dec 19 18:59 EST,Expires 10 months from now (15 Dec 19)
AMBERALERT.GOV,Department of Justice,U.S. Department of Justice,Potomac,MD,25 Oct 19 08:00 EDT,Expires 8 months from now (25 Oct 19)
AMENIANY.GOV,Non-Federal Agency,Town of Amenia,Amenia,NY,15 Apr 19 19:59 EDT,Expires 1 month from now (15 Apr 19)
AMERICA.GOV,Department of State,Department of State,Washington,DC,26 Dec 20 18:59 EST,Expires 2 years from now (26 Dec 20)
AMERICANMEMORY.GOV,Library of Congress,Library of Congress,Washington,DC,16 Jun 20 11:16 EDT,"Error: x509: certificate is valid for *.loc.gov, loc.gov, not americanmemory.gov"
AMERICANSAMOA.GOV,Non-Federal Agency,AMERICAN SAMOA GOVERNMENT,Pago Pago,AS,21 Mar 19 05:17 EDT,Expires 1 month from now (21 Mar 19)
AMERICASLIBRARY.GOV,Library of Congress,Library of Congress,Washington,DC,16 Jun 20 11:16 EDT,"Error: x509: certificate is valid for *.loc.gov, loc.gov, not americaslibrary.gov"
AMERICATHEBEAUTIFULQUARTERS.GOV,Department of the Treasury,Department of the Treasury - Mint,Washington,DC,03 May 21 16:02 EDT,Expires 2 years from now (03 May 21)
AMERICORP.GOV,Corporation for National & Community Service,Corporation for National and Community Service,Washington,DC,07 Oct 19 08:00 EDT,"Error: x509: certificate is valid for www.americorps.gov, americorps.gov, not americorp.gov"
AMERICORPS.GOV,Corporation for National & Community Service,Corporation for National & Community Service,Washington,DC,07 Oct 19 08:00 EDT,Expires 7 months from now (07 Oct 19)
AMERICUSGA.GOV,Non-Federal Agency,City of Americus,Americus,GA,01 May 19 14:00 EDT,Expires 2 months from now (01 May 19)
AMERYWI.GOV,Non-Federal Agency,City of Amery,Amery,WI,,read tcp 192.168.1.211:63389->208.90.189.100:443: read: connection reset by peer
AMESBURYMA.GOV,Non-Federal Agency,Town of Amesbury,Amesbury,MA,28 Apr 19 05:31 EDT,Expires 2 months from now (28 Apr 19)
AMESLAB.GOV,Department of Energy,Ames Laboratory,Ames,IA,,dial tcp: lookup ameslab.gov: no such host
AMHERSTMA.GOV,Non-Federal Agency,Town of Amherst,Amherst,MA,23 Oct 19 19:59 EDT,Expires 8 months from now (23 Oct 19)
AMHERSTNH.GOV,Non-Federal Agency,Town of Amherst,Amherst,NH,28 Apr 19 05:22 EDT,Expires 2 months from now (28 Apr 19)
AMHERSTVA.GOV,Non-Federal Agency,Town of Amherst,Amherst,VA,,remote error: tls: handshake failure
AMITECOUNTYMS.GOV,Non-Federal Agency,Amite County Board of Supervisors,Liberty,MS,,dial tcp 68.169.59.243:443: connect: connection refused
AMSTERDAMNY.GOV,Non-Federal Agency,City of Amsterdam,Amsterdam,NY,22 Feb 19 11:56 EST,Expires 6 days from now (22 Feb 19)
AMTRAKOIG.GOV,AMTRAK,Amtrak Office of Inspector General,Washington,DC,29 Jun 19 12:37 EDT,Expires 4 months from now (29 Jun 19)
ANACORTESWA.GOV,Non-Federal Agency,City of Anacortes,Anacortes,WA,04 Oct 19 14:54 EDT,Expires 7 months from now (04 Oct 19)
ANCHORAGEAK.GOV,Non-Federal Agency,Municipality of Anchorage,Anchorage,AK,21 Mar 20 19:54 EDT,"Error: x509: certificate is valid for *.muni.org, muni.org, not anchorageak.gov"
ANCHORIT.GOV,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,04 Sep 19 10:31 EDT,Expires 6 months from now (04 Sep 19)
ANDERSONCOUNTYSC.GOV,Non-Federal Agency,Anderson County South Carolina,Anderson,SC,,dial tcp: lookup andersoncountysc.gov: no such host
ANDERSONTX.GOV,Non-Federal Agency,Town of Anderson,aNDERSON,TX,01 May 19 12:52 EDT,Expires 2 months from now (01 May 19)
ANDOVER-NH.GOV,Non-Federal Agency,TOWN OF ANDOVER,Andover,NH,31 Mar 19 04:42 EDT,Expires 1 month from now (31 Mar 19)
ANDOVERMA.GOV,Non-Federal Agency,Town of Andover,Andover,MA,12 Oct 20 12:10 EDT,Expires 2 years from now (12 Oct 20)
ANDOVERMN.GOV,Non-Federal Agency,City of Andover,Andover,MN,11 Oct 19 19:59 EDT,Expires 7 months from now (11 Oct 19)
ANDROSCOGGINCOUNTYMAINE.GOV,Non-Federal Agency,County of Androscoggin,Auburn,ME,13 Apr 19 19:59 EDT,Expires 1 month from now (13 Apr 19)
ANGELFIRENM.GOV,Non-Federal Agency,Village of Angel Fire,Angel Fire,NM,,dial tcp 209.68.43.32:443: connect: connection refused
ANGELSCAMP.GOV,Non-Federal Agency,City of Angels ,City of Angels Camp,CA,19 Mar 19 00:49 EDT,Expires 1 month from now (19 Mar 19)
ANKENYIOWA.GOV,Non-Federal Agency,City of Ankeny,Ankeny,IA,08 Apr 20 11:28 EDT,Expires 1 year from now (08 Apr 20)
ANL.GOV,Department of Energy,Argonne National Laboratory,Argonne,IL,,dial tcp: lookup anl.gov: no such host
ANNAPOLIS.GOV,Non-Federal Agency,City of Annapolis,Annapolis,MD,,dial tcp 10.160.0.19:443: i/o timeout
ANNAPOLISMD.GOV,Non-Federal Agency,City of Annapolis,Annapolis,MD,08 Mar 21 07:00 EST,"Error: x509: certificate is valid for *.annapolis.gov, annapolis.gov, not annapolismd.gov"
